CustomerID,Gender,Age,Annual Income ($),Profession,Work Experience,Family Size,Spending Score (1-100)
1,Male,19,15000,Healthcare,1,4,39
2,Male,21,35000,Engineer,3,3,81
3,Female,20,86000,Engineer,1,1,6
4,Female,23,59000,Lawyer,0,2,77
5,Female,31,38000,Entertainment,2,6,40
6,Female,22,58000,Artist,0,2,76
7,Female,35,31000,Healthcare,1,3,6
8,Female,23,84000,Healthcare,1,3,94
9,Male,64,97000,Engineer,0,3,3
10,Female,30,98000,Artist,1,4,72
11,Male,67,7000,Engineer,1,3,14
12,Female,35,93000,Healthcare,4,4,99
13,Female,58,80000,Executive,0,5,15
14,Female,24,91000,Lawyer,1,1,77
15,Male,37,19000,Doctor,0,1,13
16,Male,22,51000,Healthcare,1,2,79
17,Female,35,29000,Homemaker,9,5,35
18,Male,20,89000,Healthcare,1,6,66
19,Male,52,20000,Entertainment,1,4,29
20,Female,35,62000,Artist,0,1,98
21,Male,35,96000,Homemaker,12,1,35
22,Male,25,4000,Healthcare,3,4,73
23,Female,46,42000,Artist,13,2,5
24,Male,31,71000,Artist,5,2,73
25,Female,54,67000,Executive,1,3,14
26,Male,29,52000,Artist,1,3,82
27,Female,45,68000,Healthcare,9,8,32
28,Male,35,78000,Artist,1,3,61
29,Female,40,18000,Artist,0,1,31
30,Female,23,20000,Artist,5,4,87
31,Male,60,39000,Artist,0,3,4
32,Female,21,34000,Doctor,1,2,73
33,Male,53,59000,Healthcare,1,3,4
34,Male,18,62000,Homemaker,9,7,92
35,Female,49,91000,Lawyer,1,2,14
36,Female,21,95000,Healthcare,3,4,81
37,Female,42,14000,Doctor,5,1,17
38,Female,30,62000,Healthcare,1,5,73
39,Female,36,9000,Artist,8,2,26
40,Female,20,69000,Artist,8,2,75
41,Female,65,25000,Artist,4,1,35
42,Male,24,85000,Healthcare,0,2,92
43,Male,48,22000,Artist,14,3,36
44,Female,31,33000,Artist,1,2,61
45,Female,49,72000,Engineer,8,1,28
46,Female,24,3000,Lawyer,4,2,65
47,Female,50,52000,Artist,0,4,55
48,Female,27,71000,Healthcare,12,1,47
49,Female,29,78000,Healthcare,0,4,42
50,Female,31,25000,Engineer,1,1,42
51,Female,49,88000,Artist,1,2,52
52,Male,33,97000,Artist,1,2,60
53,Female,31,74000,Artist,1,1,54
54,Male,59,68000,Entertainment,0,2,60
55,Female,50,18000,Marketing,1,1,45
56,Male,47,95000,Artist,14,2,41
57,Female,51,71000,Healthcare,9,4,50
58,Male,69,8000,Doctor,8,2,46
59,Female,27,57000,Artist,1,3,51
60,Male,53,89000,Lawyer,1,6,46
61,Male,70,84000,Artist,0,2,56
62,Male,19,50000,Artist,9,2,55
63,Female,67,50000,Lawyer,0,3,52
64,Female,54,48000,Lawyer,1,2,59
65,Male,63,63000,Lawyer,7,2,51
66,Male,18,9000,Entertainment,0,2,59
67,Female,43,3000,Doctor,0,2,50
68,Female,68,82000,Artist,8,4,48
69,Male,19,81000,Artist,0,4,59
70,Female,32,97000,Homemaker,2,2,47
71,Male,70,91000,Healthcare,8,2,55
72,Female,47,9000,Entertainment,8,2,42
73,Female,60,44000,Artist,0,5,49
74,Female,60,10000,Healthcare,8,4,56
75,Male,59,89000,Artist,0,4,47
76,Male,26,49000,Homemaker,0,3,54
77,Female,45,67000,Doctor,0,2,53
78,Male,40,99000,Artist,4,3,48
79,Female,23,97000,Engineer,2,2,52
80,Female,49,98000,,1,1,42
81,Male,57,52000,Healthcare,0,4,51
82,Male,38,61000,Healthcare,6,3,55
83,Male,67,120000,Artist,8,1,41
84,Female,46,34000,Entertainment,8,4,44
85,Female,21,24000,Marketing,1,3,57
86,Male,48,31000,Healthcare,7,5,46
87,Female,55,11000,Artist,0,3,58
88,Female,22,55000,Artist,5,2,55
89,Female,34,76000,Entertainment,7,3,60
90,Female,50,56000,Doctor,0,2,46
91,Female,68,46000,Entertainment,0,3,55
92,Male,18,36000,Artist,1,4,41
93,Male,48,88000,Artist,1,2,49
94,Female,40,31000,Entertainment,1,2,40
95,Female,32,24000,Artist,0,1,42
96,Male,24,80000,Artist,10,1,52
97,Female,47,2000,Artist,0,1,47
98,Female,27,67000,Artist,0,2,50
99,Male,48,58000,Doctor,1,2,42
100,Male,20,80000,Engineer,3,3,49
101,Female,23,65000,Artist,0,4,41
102,Female,49,4000,Executive,1,7,48
103,Male,67,98000,Artist,0,3,59
104,Male,26,52000,Executive,0,5,55
105,Male,49,86000,Healthcare,10,2,56
106,Female,21,82000,Doctor,1,2,42
107,Female,66,43000,Homemaker,3,2,50
108,Male,54,78000,Lawyer,1,1,46
109,Male,68,13000,Healthcare,6,5,43
110,Male,66,13000,Healthcare,9,3,48
111,Male,65,34000,Entertainment,4,4,52
112,Female,19,25000,Artist,0,1,54
113,Female,38,71000,Doctor,1,5,42
114,Male,19,2000,Artist,1,1,46
115,Female,18,97000,Executive,0,3,48
116,Female,19,51000,Executive,8,4,50
117,Female,63,9000,Lawyer,1,1,43
118,Female,49,79000,Artist,0,2,59
119,Female,51,84000,,2,7,43
120,Female,50,87000,Artist,1,2,57
121,Male,27,36000,Executive,0,3,56
122,Female,38,50000,Executive,1,4,40
123,Female,40,97000,Engineer,9,4,58
124,Male,39,6000,Healthcare,1,3,91
125,Female,23,12000,Entertainment,9,2,29
126,Female,31,46000,Marketing,1,2,77
127,Male,43,89000,Engineer,0,7,35
128,Male,40,4000,Artist,0,2,95
129,Male,59,38000,Engineer,0,2,11
130,Male,38,64000,Entertainment,8,5,75
131,Male,47,66000,Executive,9,5,9
132,Male,39,26000,Lawyer,0,2,75
133,Female,25,41000,Healthcare,6,4,34
134,Female,31,45000,Artist,5,1,71
135,Male,20,89000,Engineer,1,2,5
136,Female,29,92000,Executive,5,5,88
137,Female,44,76000,Artist,5,2,7
138,Male,32,85000,Artist,3,4,73
139,Male,19,22000,Marketing,8,4,10
140,Female,35,15000,Artist,4,4,72
141,Female,57,32000,Engineer,0,2,5
142,Male,32,66000,Artist,0,5,93
143,Female,28,62000,Doctor,5,3,40
144,Female,32,85000,Lawyer,1,2,87
145,Male,25,71000,Engineer,0,5,12
146,Male,28,26000,Marketing,8,5,97
147,Male,48,52000,Engineer,9,2,36
148,Female,32,38000,Lawyer,1,1,74
149,Female,34,51000,Healthcare,7,4,22
150,Male,34,90000,Artist,6,3,90
151,Male,43,30000,Lawyer,0,9,17
152,Male,39,41000,Engineer,0,1,88
153,Female,44,17000,Engineer,0,2,20
154,Female,38,92000,Artist,2,2,76
155,Female,47,80000,Healthcare,0,4,16
156,Female,27,10000,Marketing,8,4,89
157,Male,37,16000,Executive,1,1,1
158,Female,30,87000,Artist,3,4,78
159,Male,34,66000,Lawyer,1,2,1
160,Female,30,86000,Artist,3,3,73
161,Female,56,9000,Artist,1,1,35
162,Female,29,50000,Healthcare,1,5,83
163,Male,19,35000,Executive,0,5,5
164,Female,31,58000,Healthcare,1,5,93
165,Male,50,47000,Doctor,0,2,26
166,Female,36,54000,Artist,5,3,75
167,Male,42,79000,Homemaker,9,3,20
168,Female,33,83000,Artist,0,5,95
169,Female,36,57000,Artist,0,3,27
170,Male,32,0,Artist,2,2,63
171,Male,40,69000,Artist,3,5,13
172,Male,28,4000,Executive,0,2,75
173,Male,36,79000,Lawyer,0,2,10
174,Male,36,99000,Artist,5,2,92
175,Female,52,20000,Lawyer,0,2,13
176,Female,30,28000,Artist,3,4,86
177,Male,58,29000,Engineer,11,1,15
178,Male,27,45000,Healthcare,2,6,69
179,Male,59,86000,Healthcare,4,3,14
180,Male,35,42000,Engineer,8,1,90
181,Female,37,59000,Artist,7,2,32
182,Female,32,61000,Entertainment,7,5,86
183,Male,46,11000,Artist,7,1,15
184,Female,29,66000,Artist,4,4,88
185,Female,41,39000,Artist,1,1,39
186,Male,30,72000,Artist,6,2,97
187,Female,54,14000,Lawyer,1,2,24
188,Male,28,44000,Doctor,5,3,68
189,Female,41,76000,Engineer,8,2,17
190,Female,36,95000,Artist,4,2,85
191,Female,34,92000,Artist,5,3,23
192,Female,32,98000,Artist,8,2,69
193,Male,33,96000,Executive,9,2,8
194,Female,38,45000,Artist,10,4,91
195,Female,47,8000,Artist,7,2,16
196,Female,35,46000,Executive,1,3,79
197,Female,45,78000,Artist,0,2,28
198,Male,32,4000,Artist,1,5,74
199,Male,32,81000,Executive,1,2,18
200,Male,30,33000,Artist,4,2,83
201,Female,21,40000,Healthcare,0,3,10
202,Male,34,85000,Healthcare,9,3,16
203,Female,16,60000,Engineer,6,8,0
204,Female,76,60000,Healthcare,4,2,39
205,Female,62,63000,Entertainment,0,2,59
206,Female,63,10000,Healthcare,8,3,52
207,Female,19,55000,Healthcare,0,3,61
208,Male,46,93000,Artist,2,1,12
209,Female,48,15000,Doctor,0,2,7
210,Female,80,39000,Engineer,9,4,33
211,Female,1,57000,Engineer,1,2,93
212,Female,0,22000,Artist,2,1,92
213,Male,86,12000,Marketing,2,4,70
214,Male,49,50000,Lawyer,8,1,82
215,Male,48,95000,Doctor,2,4,68
216,Female,46,66000,Healthcare,3,3,70
217,Male,79,20000,Doctor,6,2,40
218,Female,83,35000,Doctor,8,2,99
219,Female,66,71000,Executive,9,2,34
220,Female,59,76000,,9,1,61
221,Female,39,84000,Artist,5,3,33
222,Female,95,72000,Engineer,4,2,51
223,Male,43,33000,Artist,4,3,55
224,Female,93,93000,Healthcare,1,5,37
225,Female,40,83000,Homemaker,4,1,48
226,Female,78,23000,Engineer,1,1,8
227,Female,25,40000,Artist,5,4,77
228,Male,76,89000,Healthcare,9,4,86
229,Male,0,33000,Marketing,1,1,64
230,Male,15,94000,Healthcare,7,2,30
231,Female,6,93000,Lawyer,8,2,53
232,Male,84,7000,Healthcare,0,4,28
233,Female,67,18000,Lawyer,0,2,88
234,Female,78,3000,Healthcare,0,4,14
235,Female,4,84000,Artist,9,1,54
236,Female,29,62000,Healthcare,0,4,34
237,Male,91,9000,Healthcare,1,5,96
238,Male,95,36000,,0,4,35
239,Male,55,37000,Lawyer,1,4,74
240,Female,14,50000,Artist,1,2,11
241,Male,92,83000,Executive,1,5,16
242,Female,65,79000,Artist,0,3,17
243,Female,84,40000,Healthcare,1,4,14
244,Female,77,47000,Artist,0,6,58
245,Female,53,4000,Artist,0,4,20
246,Female,28,38000,Entertainment,7,2,75
247,Male,23,0,Doctor,1,3,96
248,Female,32,7000,Artist,1,2,16
249,Female,37,41000,Artist,1,2,2
250,Female,89,65000,Engineer,0,5,0
251,Male,80,20000,Engineer,1,3,93
252,Female,27,44000,Doctor,8,1,65
253,Female,78,3000,Artist,5,4,14
254,Female,86,72000,Lawyer,7,3,13
